CC,Tienda, ADT 15-Ago , ADT 16-Ago , ADT 17-Ago ," USD 
Unicornio Frappuccino ", USD Cake Pop Unicornio 
38101,Angel, 384 , 401 , 404 , 28 , 13 
38103,Aguilas, 272 , 247 , 348 , 32 , 14 
38104,Olivar, 225 , 217 , 194 , 36 , 13 
38106,Prado Norte, 197 , 161 , 321 , 12 , 6 
38107,Pedregal, 199 , 187 , 207 , 12 , 6 
38108,Campos Eliseos, 195 , 181 , 275 , 27 , 10 
38109,Wtc, 352 , 227 , 446 , 39 , 15 
38111,Masarik , 481 , 453 , 415 , 36 , 15 
38112,Insurgentes Parroquia, 170 , 107 , 290 , 17 , 7 
38113,Juan Pablo II, 195 , 161 , 321 , 40 , 15 
38114,Miramontes, 346 , 330 , 284 , 47 , 18 
38115,Zona Azul, 203 , 177 , 197 , 18 , 9 
38116,Santa Teresa, 351 , 298 , 303 , 48 , 19 
38117,Satelite , 240 , 157 , 199 , 21 , 9 
38118,Corporativo Polanco, 265 , 212 , 566 , 50 , 19 
38119,Lomas Verdes , 344 , 225 , 361 , 38 , 15 
38121,Herradura, 289 , 277 , 294 , 31 , 14 
38122,Santa Fe, 173 , 114 , 227 , 19 , 7 
38123,Plaza Alameda, 498 , 320 , 432 , 73 , 26 
38124,San Jeronimo, 220 , 183 , 217 , 25 , 10 
38126,Interlomas, 252 , 252 , 288 , 18 , 8 
38128,Condesa , 248 , 196 , 342 , 34 , 13 
38129,Plaza Santa Teresa, 264 , 188 , 290 , 26 , 11 
38131,Tepepan, 467 , 397 , 430 , 56 , 22 
38133,Vista Hermosa Cuernavaca, 317 , 224 , 371 , 41 , 17 
38134,Pilares, 828 , 662 , 716 , 99 , 39 
38136,Punta Norte, 457 , 455 , 222 , 68 , 26 
38137,Midtown Jalisco PA, 501 , 490 , 433 , 62 , 27 
38138,Galerias metepec 1, 680 , 589 , 420 , 97 , 38 
38139,Plaza Inn, 231 , 75 , 464 , 23 , 9 
38141,Plaza Mayor Metepec , 176 , 133 , 194 , 25 , 10 
38142,Zona Esmeralda, 297 , 210 , 257 , 29 , 14 
38143,Americas, 284 , 206 , 306 , 27 , 11 
38144,Minerva, 958 , 751 , 864 , 125 , 50 
38146,Puebla Mazarik Plaza, 259 , 213 , 339 , 32 , 13 
38147,Puebla Las Animas, 430 , 344 , 463 , 49 , 20 
38148,Centro Comercial Santa Fe 1, 448 , 384 , 289 , 37 , 17 
38149,Bellavista, 278 , 233 , 284 , 35 , 15 
38150,Santa Fe 2, 66 , 54 , 214 , 17 , 6 
38151,Aeropuerto II Sala Bravo, 530 , 534 , 571 , 45 , 18 
38152,Insurgentes Relox, 242 , 178 , 405 , 60 , 22 
38153,Centro Magno, 428 , 320 , 395 , 54 , 22 
38154,Gran Plaza Guadalajara, 632 , 624 , 517 , 62 , 27 
38155,16 de Septiembre, 453 , 274 , 398 , 59 , 23 
38157,Angelopolis, 680 , 576 , 469 , 112 , 43 
38158,Plaza Lilas, 162 , 95 , 261 , 12 , 5 
38159,Bugambilias, 384 , 349 , 321 , 32 , 14 
38161,Aeropuerto Guadalajara C30," 1,240 "," 1,293 "," 1,246 ", 76 , 41 
38162,Patria y Acueducto , 505 , 442 , 610 , 51 , 25 
38163,Juarez Puebla, 544 , 320 , 625 , 97 , 39 
38164,Galerias Cuernavaca, 447 , 427 , 343 , 65 , 25 
38165,Aeropuerto llegadas internacionales, 696 , 667 , 669 , 80 , 35 
38166,Superama SantaFe, 245 , 250 , 249 , 19 , 8 
38167,Aeropuerto Dufry, 665 , 695 , 665 , 34 , 20 
38169,Altavista, 219 , 183 , 236 , 16 , 8 
38171,Aeropuerto Internacional II, 227 , 237 , 277 , 20 , 9 
